Version,File Name,Size(LOC), LOC_Touched,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,Buggy
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91,91,1,1,91,91,0,91,91,91,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,139,22,6,3,2,12,0,137,124,22,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,282,11,5,3,11,11,0,282,249,56,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,216,27,7,3,11,9,0,216,204,30,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,582,268,15,4,75,105,0,541,405,36,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,800,110,10,3,72,73,0,723,637,72,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,65,22,4,3,4,13,0,65,61,16,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,150,59,10,3,0,25,0,131,155,13,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,0,4,3,0,0,0,81,80,20,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,0,3,2,0,0,0,84,83,28,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,905,301,21,4,143,95,0,901,545,42,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,171,8,10,3,2,5,0,170,139,17,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,153,103,12,4,3,19,2,107,132,8,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,169,6,6,3,4,4,0,169,138,28,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,189,18,7,4,16,15,0,189,170,27,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,127,94,11,2,24,37,0,125,99,11,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,79,3,2,2,1,2,1,79,78,39,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,90,43,3,3,3,23,0,90,87,30,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,0,2,2,0,0,0,85,85,42,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,113,12,4,3,9,10,0,112,60,28,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,276,62,7,2,60,30,0,276,216,39,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,549,192,10,3,177,110,0,544,372,54,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,283,42,6,3,30,23,0,283,251,47,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,175,42,3,2,3,7,0,154,172,51,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,507,65,5,2,9,15,0,491,498,98,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,209,5,2,1,5,5,0,209,204,104,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,147,7,2,1,3,5,0,147,144,73,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,2,2,1,0,1,0,98,98,49,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236,236,1,1,236,236,0,236,236,236,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,227,52,10,4,46,26,0,223,176,22,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,172,22,7,3,18,10,0,172,75,24,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,507,192,20,3,114,61,0,504,206,25,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,0,3,3,0,0,0,132,75,44,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,694,303,19,4,99,48,0,684,571,36,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,0,3,2,0,0,0,174,173,58,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,0,3,2,0,0,0,148,147,49,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,665,667,2,1,665,665,0,665,665,332,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,55,55,1,1,55,55,0,55,55,55,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,256,64,9,4,22,33,0,256,209,28,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,0,3,2,0,0,0,39,38,13,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,0,3,3,0,0,0,44,69,14,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,0,1,1,0,0,0,94,94,94,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,582,652,9,3,591,394,0,573,385,63,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,319,345,3,2,319,317,0,319,317,106,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,321,325,2,1,321,298,0,321,298,160,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,210,210,3,2,210,127,0,210,127,70,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,249,277,5,3,249,143,0,249,133,49,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,734,209,11,3,151,155,0,697,604,63,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,88,88,1,1,88,88,0,88,88,88,NO
