Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,1,0,20,117,1947,34,0.15,0.37,0.76,0.18
OPENJPA,5,0.724,0.035,0.025,RandomForest,1,0,28,12,2052,26,0.70,0.52,0.93,0.59
OPENJPA,5,0.724,0.035,0.025,IBk,1,0,31,14,2050,23,0.69,0.57,0.84,0.62
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,2,0,25,161,1903,29,0.13,0.46,0.76,0.18
OPENJPA,5,0.724,0.035,0.025,RandomForest,2,0,33,15,2049,21,0.69,0.61,0.93,0.64
OPENJPA,5,0.724,0.035,0.025,IBk,2,0,33,34,2030,21,0.49,0.61,0.83,0.53
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,3,0,29,185,1879,25,0.14,0.54,0.79,0.18
OPENJPA,5,0.724,0.035,0.025,RandomForest,3,0,49,299,1765,5,0.14,0.91,0.91,0.21
OPENJPA,5,0.724,0.035,0.025,IBk,3,0,45,410,1654,9,0.10,0.83,0.82,0.14
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,4,0,22,18,2046,32,0.55,0.41,0.79,0.46
OPENJPA,5,0.724,0.035,0.025,RandomForest,4,0,22,18,2046,32,0.55,0.41,0.79,0.46
OPENJPA,5,0.724,0.035,0.025,IBk,4,0,22,18,2046,32,0.55,0.41,0.79,0.46
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,1,1,22,65,1999,32,0.25,0.41,0.79,0.29
OPENJPA,5,0.724,0.035,0.025,RandomForest,1,1,31,15,2049,23,0.67,0.57,0.88,0.61
OPENJPA,5,0.724,0.035,0.025,IBk,1,1,29,13,2051,25,0.69,0.54,0.87,0.60
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,2,1,25,114,1950,29,0.18,0.46,0.80,0.23
OPENJPA,5,0.724,0.035,0.025,RandomForest,2,1,35,68,1996,19,0.34,0.65,0.87,0.43
OPENJPA,5,0.724,0.035,0.025,IBk,2,1,33,60,2004,21,0.35,0.61,0.86,0.43
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,3,1,23,82,1982,31,0.22,0.43,0.80,0.26
OPENJPA,5,0.724,0.035,0.025,RandomForest,3,1,43,377,1687,11,0.10,0.80,0.89,0.14
OPENJPA,5,0.724,0.035,0.025,IBk,3,1,43,390,1674,11,0.10,0.80,0.81,0.14
OPENJPA,5,0.724,0.035,0.025,NaiveBayes,4,1,20,12,2052,34,0.62,0.37,0.80,0.45
OPENJPA,5,0.724,0.035,0.025,RandomForest,4,1,20,12,2052,34,0.62,0.37,0.80,0.45
OPENJPA,5,0.724,0.035,0.025,IBk,4,1,20,12,2052,34,0.62,0.37,0.80,0.45
